lib32-libgpg-error 1.17-1
lib32-libice 1.0.9-1
lib32-libidn 1.29-1
lib32-libldap 2.4.40-1
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.2-1
lib32-libpng 1.6.16-1
lib32-libpulse 5.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.25-3
lib32-libssh2 1.4.3-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libvorbis 1.3.4-1
lib32-libx11 1.6.2-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.1-2
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.4-1
lib32-libxrender 0.9.8-1
lib32-libxshmfence 1.1-1
lib32-libxtst 1.2.2-1
lib32-libxxf86vm 1.1.3-1
lib32-llvm-libs 3.5.0-2
lib32-mesa 10.4.1-1
lib32-mesa-libgl 10.4.1-1
lib32-openssl 1.0.1.j-1
lib32-pcre 8.36-1
lib32-pixman 0.32.6-1
lib32-systemd 218-1
lib32-util-linux 2.25.2-1
lib32-wayland 1.6.0-1
lib32-xz 5.0.7-1
lib32-zlib 1.2.8-1
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.12.0-1
libassuan 2.1.3-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.6.2-1
libbsd 0.7.0-1
libcaca 0.99.beta18-2
libcanberra 0.30-4
libcanberra-pulse 0.30-4
libcap 2.24-2
libcap-ng 0.7.4-1
libcl 1.1-4
libconfig 1.4.9-2
libcroco 0.6.8-2
libcups 2.0.1-1
libdaemon 0.14-3
libdatrie 0.2.6-1
libdbus 1.8.12-1
libdca 0.0.5-4
libdmx 1.1.3-1
libdrm 2.4.58-1
libdv 1.0.0-6
libdvbpsi 1:1.1.2-1
libdvdnav 5.0.1-1
libdvdread 5.0.0-1
libebml 1.3.0-2
libedit 20141030_3.1-1
libepoxy 1.2-2
libevdev 1.3.2-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.2-1
libgcrypt 1.6.2-1
libgksu 2.0.12-6
libglade 2.6.4-5
libglademm 2.6.7-3
libgnome-keyring 3.12.0-2
libgpg-error 1.17-1
libgphoto2 2.5.6-1
libgssglue 0.4-2
libgtop 2.30.0-1
libgusb 0.1.6-1
libgxps 0.2.2-3
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.29-1
libiec61883 1.2.0-4
libjpeg-turbo 1.3.1-3
libkate 0.4.1-5
libksba 1.3.2-1
libldap 2.4.40-2
liblqr 0.4.2-1
libmad 0.15.1b-7
libmatroska 1.4.1-1
libmm-glib 1.2.0-5
libmng 2.0.2-3
libmodplug 0.8.8.5-1
libmpc 1.0.2-2
libmpcdec 1.2.6-4
libmpeg2 0.5.1-5
libnl 3.2.25-1
libnm-glib 0.9.10.0-4
libnotify 0.7.6-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-7
libpcap 1.6.2-1
libpciaccess 0.13.2-2
libpipeline 1.4.0-1
libpng 1.6.16-1
libproxy 0.4.11-4
libpulse 5.0-1
libraw1394 2.1.0-2
librpcsecgss 0.19-8
librsvg 1:2.40.6-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libshout 1:2.3.1-2
libsigc++ 2.4.0-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.48.1-1
libspectre 0.2.7-2
libspiro 1:0.2-2
libssh2 1.4.3-2
libsystemd 218-1
libtar 1.2.20-2
libtasn1 4.2-1
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-5
libtiger 0.3.4-4
libtirpc 0.2.5-1
libtool 2.4.4-2
libtxc_dxtn 1.0.1-5
libunistring 0.9.4-1
libupnp 1.6.19-1
libusb 1.0.19-1
libusb-compat 0.1.5-1
libutempter 1.1.6-2
libutil-linux 2.25.2-1
libva 1.5.0-1
libva-intel-driver 1.5.0-1
libvdpau 0.8-1
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwbclient 4.1.14-2
libwebp 0.4.2-1
libwmf 0.2.8.4-12
libx11 1.6.2-2
libx264 1:142.20140826-2
libx86emu 1.1.23.1-1
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.11-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.1-2
libxext 1.3.3-1
libxfixes 5.0.1-1
libxfont 1.5.0-1
libxft 2.3.2-1
libxi 1.7.4-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbfile 1.0.8-2
libxml2 2.9.2-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxshmfence 1.2-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.8-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.3-1
libyaml 0.1.6-1
libzeitgeist 0.3.18-4
licenses 20140629-1
lilypond 2.18.2-2
linux 3.17.6-1
linux-api-headers 3.18.1-1
linux-firmware 20141201.38e5405-1
llvm 3.5.0-3
llvm-libs 3.5.0-3
logrotate 3.8.8-2
lsof 4.88-2
lua 5.2.3-1
lua-socket 3.0rc1-3
lvm2 2.02.114-1
lxappearance 0.6.1-1
lxappearance-obconf 0.2.2-1
lxinput 0.3.4-1
lxrandr 0.3.0-1
lynx 2.8.8-1
lz4 127-1
lzo 2.08-3
m4 1.4.17-1
make 4.1-1
man-db 2.7.1-1
man-pages 3.76-1
mc 4.8.13-1
mcpp 2.7.2-5
mdadm 3.3.2-1
meld 3.12.3-1
memtest86+ 5.01-1
mercurial 3.2.3-1
mesa 10.4.1-1
mesa-libgl 10.4.1-1
mime-types 9-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
most 5.0.0a-6
mozilla-common 1.4-4
mpfr 3.1.2.p11-1
mtdev 1.1.5-1
mtools 4.0.18-2
